problem,parameter,value,fitnessMean,fitnessStd,timeMean,timeStd,convergenceGenMean,totalGenerationsMean
Partition,tournamentSize,10,1.0,0.0,0.08229236000004221,0.0014216728317188196,0.5,41.5
Partition,tournamentSize,20,1.0,0.0,0.10186168000002453,0.0019166287390741795,0.6,41.6
Partition,crossoverProb,0.5,1.0,0.0,0.07328645000000052,0.001590849004915673,0.8,41.8
Partition,crossoverProb,0.7,1.0,0.0,0.06740993999997044,0.0011209100072828602,0.2,41.2
Partition,crossoverProb,0.9,1.0,0.0,0.06413642000002255,0.0015225405930830306,1.1,42.1
Partition,crossoverType,onePoint,1.0,0.0,0.0701112499999681,0.00372790979991761,1.9,42.9
Partition,crossoverType,twoPoint,1.0,0.0,0.07931003000001055,0.0016272133388127482,0.7,41.7
Partition,crossoverType,uniform,1.0,0.0,0.0764297999999826,0.002524812821606827,0.7,41.7
Partition,mutationProb,0.01,1.0,0.0,0.06889527000007548,0.001240733990048123,0.7,41.7
Partition,mutationProb,0.05,1.0,0.0,0.06937856999995802,0.002193833831486525,0.7,41.7
Partition,mutationProb,0.1,1.0,0.0,0.06986571999998432,0.0018143015817627753,0.8,41.8
Partition,mutationProb,0.2,1.0,0.0,0.06976507000001675,0.0032378681115915655,0.3,41.3
Partition,mutationType,bitFlip,1.0,0.0,0.07024086999997507,0.0027089645553199752,1.2,42.2
Partition,mutationType,swap,1.0,0.0,0.07091990000003534,0.0022867133690010746,0.9,41.9
Partition,elitismNum,1,1.0,0.0,0.06785879000001387,0.0012138215432851878,0.5,41.5
Partition,elitismNum,5,1.0,0.0,0.06814492999999403,0.001777944403531489,0.4,41.4
Partition,elitismNum,10,1.0,0.0,0.06918574000003445,0.00219680524178783,1,42
Partition,elitismNum,20,1.0,0.0,0.06914465999998357,0.0019459548747247659,0.8,41.8
Partition,generations,50,1.0,0.0,0.06919683999999507,0.00358305444369191,0.2,41.2
Partition,generations,150,1.0,0.0,0.07021652999997059,0.005448113185142995,2,43
Partition,generations,300,1.0,0.0,0.06997523000004549,0.0027938316746046743,1.2,42.2
Partition,generations,600,1.0,0.0,0.06877316000004612,0.001744685782166983,0.6,41.6
Partition,patience,10,1.0,0.0,0.020853940000006333,0.0020805301541926323,1.4,12.4
Partition,patience,40,1.0,0.0,0.06793897000004563,0.001528478578865714,0.6,41.6
Partition,patience,100,1.0,0.0,0.16604827000001024,0.002081617346707828,0.6,101.6
Partition,patience,200,1.0,0.0,0.3466343299999835,0.022474994080570045,0.6,201.6
BinPacking,chromosomSize,10,1.3333333333333333,0.0,0.08187413000000561,0.014088277468970446,11.4,52.4
BinPacking,chromosomSize,20,1.1428571428571428,0.0,0.1437339999999722,0.0215546708118743,28.3,69.3
BinPacking,chromosomSize,40,1.0595588235294118,0.0014705882352941124,0.28049495999998725,0.05715475810616901,47.3,88.3
BinPacking,chromosomSize,60,1.0356440430578362,0.0014072622855209208,0.5263751500000126,0.12551042430770415,72.3,113.3
BinPacking,populationSize,30,1.0695970695970696,0.003316990893090617,0.042658710000023345,0.007998662730641396,32.5,73.5
BinPacking,populationSize,100,1.072124542124542,0.003620448780384214,0.1273441999999932,0.01917821354608916,32,73
BinPacking,populationSize,300,1.073076923076923,0.0025178987334922107,0.4625086100000317,0.0859113540107243,42.8,83.8
BinPacking,populationSize,600,1.0726007326007325,0.0031544395811884114,0.917783840000061,0.15533875648778706,37.2,78.2
BinPacking,initMethod,random,1.072051282051282,0.0028138449321770793,0.20420989000001555,0.04101566325172218,33.3,74.3
BinPacking,initMethod,heuristic,1.0833333333333333,0.0,0.10023540999995931,0.002309400560066769,0,41
BinPacking,selectionType,roulette,1.0697298534798534,0.004493830105447274,0.425360019999971,0.12832575644637317,39.8,80.8
BinPacking,selectionType,ranking,1.072051282051282,0.0028138449321770793,0.7741448500000387,0.14636923371398225,58.7,99.7
BinPacking,selectionType,tournament,1.0752747252747252,0.0025178987334922107,0.2254752299999609,0.03812072886139124,45.5,86.5
BinPacking,tournamentSize,2,1.0711721611721612,0.004249873616207113,0.2350497900000164,0.04585108034537993,48.5,89.5
BinPacking,tournamentSize,5,1.0763736263736263,0.0016483516483516425,0.1780514999999923,0.02306558041838154,25,66
BinPacking,tournamentSize,10,1.0764652014652014,0.003152365289021693,0.19206007000004774,0.051797450323671994,23.1,64.1
BinPacking,tournamentSize,20,1.0758241758241758,0.00219780219780219,0.1974086599999964,0.026107638130091846,17.3,58.3
BinPacking,crossoverProb,0.5,1.073076923076923,0.0025178987334922107,0.209394199999997,0.03887632591457313,36.5,77.5
BinPacking,crossoverProb,0.7,1.0726007326007325,0.0031544395811884114,0.21564918999999919,0.05375534602529439,39.7,80.7
BinPacking,crossoverProb,0.9,1.0759157509157509,0.003485872950672933,0.2471738599999526,0.07161972785070574,50.1,91.1
BinPacking,crossoverType,onePoint,1.0742673992673992,0.0038949029886697186,0.21647865999996158,0.03663811697215597,41.9,82.9
BinPacking,crossoverType,twoPoint,1.073150183150183,0.00337334596918469,0.2268973599999981,0.046698129592065006,38.4,79.4
BinPacking,crossoverType,uniform,1.072051282051282,0.0028138449321770793,0.2277336600000126,0.037413302482534036,40.8,81.8
BinPacking,mutationProb,0.01,1.0726007326007325,0.0031544395811884114,0.18394067999997787,0.05450988616336722,34.2,75.2
BinPacking,mutationProb,0.05,1.0736263736263736,0.002691746970091395,0.19939365999996425,0.020866467204941206,37.3,78.3
BinPacking,mutationProb,0.1,1.0665613553113553,0.004870729678504841,0.18836082000004808,0.05166181875465223,28.9,69.9
BinPacking,mutationProb,0.2,1.0638585434173669,0.0033091032591137442,0.21433136000002834,0.05494305471999359,35.2,76.2
BinPacking,mutationType,bitFlip,1.0741758241758241,0.0027472527472527375,0.21902939000001426,0.04023948352468338,43.9,84.9
BinPacking,mutationType,swap,1.0737179487179487,0.0038689798853988157,0.2015892799999847,0.05356911685839032,36.8,77.8
BinPacking,elitismNum,1,1.0725274725274725,0.00219780219780219,0.23910760999997366,0.06756665339091912,53,94
BinPacking,elitismNum,5,1.075989010989011,0.004095731162202374,0.19915955999999824,0.01758827974651307,37.2,78.2
BinPacking,elitismNum,10,1.073150183150183,0.00337334596918469,0.17604702999999516,0.02305019376911729,28.3,69.3
BinPacking,elitismNum,20,1.0747252747252747,0.002691746970091395,0.186009319999971,0.025399445486980643,32.2,73.2
BinPacking,generations,50,1.073076923076923,0.0025178987334922107,0.13066953000000012,0.007564155058449215,32.5,50
BinPacking,generations,150,1.072124542124542,0.003620448780384214,0.20824755999997252,0.038462526369365625,39.6,80.6
BinPacking,generations,300,1.0726739926739925,0.0038807099305931078,0.1998482200000126,0.05396682646991151,34.6,75.6
BinPacking,generations,600,1.0725274725274725,0.00219780219780219,0.1722128800000519,0.027576739749221063,25.8,66.8
BinPacking,patience,10,1.0656932773109244,0.004650851198719569,0.06987664999996923,0.021325030892382465,16,27
BinPacking,patience,40,1.0747252747252747,0.002691746970091395,0.21319943999999397,0.03185656107197315,42.9,83.9
BinPacking,patience,100,1.0741758241758241,0.0027472527472527375,0.3722181499999806,0.0599787344134753,47.3,148.3
BinPacking,patience,200,1.0764652014652014,0.003152365289021693,0.6769595500000378,0.10020549795133715,93.4,260.5
Knapsack,chromosomSize,10,356,0.0,0.07763966999996227,0.008339418108074278,1.7,42.7
Knapsack,chromosomSize,20,1458,0.0,0.11805001999998695,0.008978784288108863,6.2,47.2
Knapsack,chromosomSize,40,2144.3,3.661966684720111,0.27287440000002333,0.04326761902093353,34.8,75.8
Knapsack,chromosomSize,60,3001,8.854377448471462,0.5790345399999979,0.14951814648644166,79.5,120.5
Knapsack,populationSize,30,1586,0.0,0.03589202999996814,0.004197502074140981,19.8,60.8
Knapsack,populationSize,100,1586,0.0,0.10815179000001081,0.00374237582468906,15.3,56.3
Knapsack,populationSize,300,1586,0.0,0.31262159999998856,0.01424258479261698,12.1,53.1
Knapsack,populationSize,600,1586,0.0,0.6191337099999827,0.0239030257587997,11.5,52.5
Knapsack,initMethod,random,1586,0.0,0.15596934999998666,0.007143392778814532,13.1,54.1
Knapsack,initMethod,heuristic,1586,0.0,0.11913511999998719,0.001115958122628415,0,41
Knapsack,selectionType,roulette,1581.9,8.203048213926333,0.5061668100000588,0.12581418296322452,58.7,99.7
Knapsack,selectionType,ranking,1586,0.0,0.4727707200000168,0.056694717089987516,20.7,61.7
Knapsack,selectionType,tournament,1586,0.0,0.1572053399999504,0.007338332836993199,11.8,52.8
Knapsack,tournamentSize,2,1586,0.0,0.17651885000002493,0.017757101388931683,21.7,62.7
Knapsack,tournamentSize,5,1586,0.0,0.15547834000001332,0.004748638851766717,9.3,50.3
Knapsack,tournamentSize,10,1586,0.0,0.16345383999996557,0.003537499758379065,7.6,48.6
Knapsack,tournamentSize,20,1586,0.0,0.18121544999996786,0.004711352466410921,6.1,47.1
Knapsack,crossoverProb,0.5,1586,0.0,0.170391410000002,0.010721239051117342,15.1,56.1
Knapsack,crossoverProb,0.7,1586,0.0,0.15796619000002465,0.006491936207116768,13.6,54.6
Knapsack,crossoverProb,0.9,1586,0.0,0.14487578999992365,0.009935150574941492,10.8,51.8
