GA comparative study
Each GA configuration repeated 10 times (mean +/- std shown)

--- SubsetSum: parameter sweep ---
Partition    | selectionType    = ranking    | fitness=1.000+/-0.000 | gen=0.4/41.4 | time=0.262s+/-0.007s
Partition    | selectionType    = tournament | fitness=1.000+/-0.000 | gen=0.8/41.8 | time=0.069s+/-0.001s
Partition    | tournamentSize   = 2          | fitness=1.000+/-0.000 | gen=0.7/41.7 | time=0.067s+/-0.002s
Partition    | tournamentSize   = 5          | fitness=1.000+/-0.000 | gen=0.6/41.6 | time=0.073s+/-0.002s
Partition    | tournamentSize   = 10         | fitness=1.000+/-0.000 | gen=0.5/41.5 | time=0.082s+/-0.001s
Partition    | tournamentSize   = 20         | fitness=1.000+/-0.000 | gen=0.6/41.6 | time=0.102s+/-0.002s
Partition    | crossoverProb    = 0.5        | fitness=1.000+/-0.000 | gen=0.8/41.8 | time=0.073s+/-0.002s
Partition    | crossoverProb    = 0.7        | fitness=1.000+/-0.000 | gen=0.2/41.2 | time=0.067s+/-0.001s
Partition    | crossoverProb    = 0.9        | fitness=1.000+/-0.000 | gen=1.1/42.1 | time=0.064s+/-0.002s
Partition    | crossoverType    = onePoint   | fitness=1.000+/-0.000 | gen=1.9/42.9 | time=0.070s+/-0.004s
Partition    | crossoverType    = twoPoint   | fitness=1.000+/-0.000 | gen=0.7/41.7 | time=0.079s+/-0.002s
Partition    | crossoverType    = uniform    | fitness=1.000+/-0.000 | gen=0.7/41.7 | time=0.076s+/-0.003s
Partition    | mutationProb     = 0.01       | fitness=1.000+/-0.000 | gen=0.7/41.7 | time=0.069s+/-0.001s
Partition    | mutationProb     = 0.05       | fitness=1.000+/-0.000 | gen=0.7/41.7 | time=0.069s+/-0.002s
Partition    | mutationProb     = 0.1        | fitness=1.000+/-0.000 | gen=0.8/41.8 | time=0.070s+/-0.002s
Partition    | mutationProb     = 0.2        | fitness=1.000+/-0.000 | gen=0.3/41.3 | time=0.070s+/-0.003s
Partition    | mutationType     = bitFlip    | fitness=1.000+/-0.000 | gen=1.2/42.2 | time=0.070s+/-0.003s
Partition    | mutationType     = swap       | fitness=1.000+/-0.000 | gen=0.9/41.9 | time=0.071s+/-0.002s
Partition    | elitismNum       = 1          | fitness=1.000+/-0.000 | gen=0.5/41.5 | time=0.068s+/-0.001s
Partition    | elitismNum       = 5          | fitness=1.000+/-0.000 | gen=0.4/41.4 | time=0.068s+/-0.002s
Partition    | elitismNum       = 10         | fitness=1.000+/-0.000 | gen=1.0/42.0 | time=0.069s+/-0.002s
Partition    | elitismNum       = 20         | fitness=1.000+/-0.000 | gen=0.8/41.8 | time=0.069s+/-0.002s
Partition    | generations      = 50         | fitness=1.000+/-0.000 | gen=0.2/41.2 | time=0.069s+/-0.004s
Partition    | generations      = 150        | fitness=1.000+/-0.000 | gen=2.0/43.0 | time=0.070s+/-0.005s
Partition    | generations      = 300        | fitness=1.000+/-0.000 | gen=1.2/42.2 | time=0.070s+/-0.003s
Partition    | generations      = 600        | fitness=1.000+/-0.000 | gen=0.6/41.6 | time=0.069s+/-0.002s
Partition    | patience         = 10         | fitness=1.000+/-0.000 | gen=1.4/12.4 | time=0.021s+/-0.002s
Partition    | patience         = 40         | fitness=1.000+/-0.000 | gen=0.6/41.6 | time=0.068s+/-0.002s
Partition    | patience         = 100        | fitness=1.000+/-0.000 | gen=0.6/101.6 | time=0.166s+/-0.002s
Partition    | patience         = 200        | fitness=1.000+/-0.000 | gen=0.6/201.6 | time=0.347s+/-0.022s

--- BinPacking: parameter sweep ---
BinPacking   | chromosomSize    = 10         | fitness=1.333+/-0.000 | gen=11.4/52.4 | time=0.082s+/-0.014s
BinPacking   | chromosomSize    = 20         | fitness=1.143+/-0.000 | gen=28.3/69.3 | time=0.144s+/-0.022s
BinPacking   | chromosomSize    = 40         | fitness=1.060+/-0.001 | gen=47.3/88.3 | time=0.280s+/-0.057s
BinPacking   | chromosomSize    = 60         | fitness=1.036+/-0.001 | gen=72.3/113.3 | time=0.526s+/-0.126s
BinPacking   | populationSize   = 30         | fitness=1.070+/-0.003 | gen=32.5/73.5 | time=0.043s+/-0.008s
BinPacking   | populationSize   = 100        | fitness=1.072+/-0.004 | gen=32.0/73.0 | time=0.127s+/-0.019s
BinPacking   | populationSize   = 300        | fitness=1.073+/-0.003 | gen=42.8/83.8 | time=0.463s+/-0.086s
BinPacking   | populationSize   = 600        | fitness=1.073+/-0.003 | gen=37.2/78.2 | time=0.918s+/-0.155s
BinPacking   | initMethod       = random     | fitness=1.072+/-0.003 | gen=33.3/74.3 | time=0.204s+/-0.041s
BinPacking   | initMethod       = heuristic  | fitness=1.083+/-0.000 | gen=0.0/41.0 | time=0.100s+/-0.002s
BinPacking   | selectionType    = roulette   | fitness=1.070+/-0.004 | gen=39.8/80.8 | time=0.425s+/-0.128s
BinPacking   | selectionType    = ranking    | fitness=1.072+/-0.003 | gen=58.7/99.7 | time=0.774s+/-0.146s
BinPacking   | selectionType    = tournament | fitness=1.075+/-0.003 | gen=45.5/86.5 | time=0.225s+/-0.038s
BinPacking   | tournamentSize   = 2          | fitness=1.071+/-0.004 | gen=48.5/89.5 | time=0.235s+/-0.046s
BinPacking   | tournamentSize   = 5          | fitness=1.076+/-0.002 | gen=25.0/66.0 | time=0.178s+/-0.023s
BinPacking   | tournamentSize   = 10         | fitness=1.076+/-0.003 | gen=23.1/64.1 | time=0.192s+/-0.052s
BinPacking   | tournamentSize   = 20         | fitness=1.076+/-0.002 | gen=17.3/58.3 | time=0.197s+/-0.026s
BinPacking   | crossoverProb    = 0.5        | fitness=1.073+/-0.003 | gen=36.5/77.5 | time=0.209s+/-0.039s
BinPacking   | crossoverProb    = 0.7        | fitness=1.073+/-0.003 | gen=39.7/80.7 | time=0.216s+/-0.054s
BinPacking   | crossoverProb    = 0.9        | fitness=1.076+/-0.003 | gen=50.1/91.1 | time=0.247s+/-0.072s
BinPacking   | crossoverType    = onePoint   | fitness=1.074+/-0.004 | gen=41.9/82.9 | time=0.216s+/-0.037s
BinPacking   | crossoverType    = twoPoint   | fitness=1.073+/-0.003 | gen=38.4/79.4 | time=0.227s+/-0.047s
BinPacking   | crossoverType    = uniform    | fitness=1.072+/-0.003 | gen=40.8/81.8 | time=0.228s+/-0.037s
